Bride of Chucky	1998	5.3	14634
Bride of Frankenstein	1935	8.0	16363
Bridge to Terabithia	2007	7.3	36824
Bridget Jones's Diary	2001	6.8	61687
Bridget Jones: The Edge of Reason	2004	5.6	27943
Brief Encounter	1945	8.2	14290
Bring It On	2000	5.9	31605
Bringing Down the House	2003	5.4	16913
Bringing Out the Dead	1999	6.8	31999
Bringing Up Baby	1938	8.1	24187
Broadcast News	1987	7.1	10991
Brokeback Mountain	2005	7.8	122522
Brokedown Palace	1999	6.2	10754
Broken Arrow	1996	5.8	35113
Broken Flowers	2005	7.3	42210
Bronenosets Potyomkin	1925	8.1	18383
Bronson	2008	6.7	10503
Brooklyn's Finest	2009	6.9	18989
Brother Bear	2003	6.6	14833
Bruce Almighty	2003	6.6	100274
Brüno	2009	6.3	57796
BubbaHo-Tep	2002	7.3	23975
Bubble Boy	2001	5.4	11596
Buffalo '66	1998	7.4	18558
Buffalo Soldiers	2001	6.9	13969
Buffy the Vampire Slayer	1992	5.3	16764
Bug	2006	6.0	14876
Bugsy	1991	6.8	10564
Bull Durham	1988	7.0	19363
Bulletproof	1996	5.5	12618
Bulletproof Monk	2003	5.2	18119
Bullets Over Broadway	1994	7.5	15583
Bullitt	1968	7.4	22163
Bully	2001	7.0	17398
Bulworth	1998	6.8	15759
Buried	2010	7.3	30355
Burn After Reading	2008	7.2	100989
But I'm a Cheerleader	1999	6.2	10414
Butch Cassidy and the Sundance Kid	1969	8.2	62563
Butterfly on a Wheel	2007	6.7	12735
C'era una volta il West	1968	8.8	82814
C'est arrivé près de chez vous	1992	7.6	13902
C.R.A.Z.Y.	2005	8.0	13796
Cabaret	1972	7.8	19053
Cabin Fever	2002	5.4	30227
Caché	2005	7.3	23502
Caddyshack	1980	7.3	37033
Calendar Girls	2003	6.9	10053
Caligola	1979	4.9	15249
Can't Hardly Wait	1998	6.2	20069
Candy	2006	7.2	12001
Candyman	1992	6.5	17090
Cannibal Holocaust	1980	6.1	16611
Cape Fear	1962	7.8	10633
Cape Fear	1991	7.3	50189
Capitalism: A Love Story	2009	7.4	14100
Capote	2005	7.6	43507
Captain Corelli's Mandolin	2001	5.8	15477
Captivity	2007	4.6	13018
Carlito's Way	1993	7.9	55221
Carne trémula	1997	7.5	10847
Carrie	1976	7.4	41649
Carriers	2009	6.2	11473
Cars	2006	7.4	73278
Casablanca	1942	8.8	180197
Casanova	2005	6.5	18568
Case 39	2009	6.1	12568
Cashback	2006	7.4	24250
Casino	1995	8.1	119437
Casino Royale	1966	5.2	12350
Casino Royale	2006	8.0	182675
Casper	1995	5.7	27996
Cassandra's Dream	2007	6.8	21439
Cast Away	2000	7.5	112498
Casualties of War	1989	7.0	14879
Cat on a Hot Tin Roof	1958	8.0	15274
Catch Me If You Can	2002	7.8	149919
Catch-22	1970	7.1	10009
Cats & Dogs	2001	5.2	18106
Catwoman	2004	3.2	36975
Celebrity	1998	6.2	11325
Cellular	2004	6.5	34271
Central do Brasil	1998	8.0	17783
Centurion	2010	6.4	17568
Chain Reaction	1996	5.3	16525
Changeling	2008	8.0	73370
Changing Lanes	2002	6.5	30397
Chaos Theory	2008	6.9	12590
Chaplin	1992	7.3	15147
Charade	1963	8.0	23777
Chariots of Fire	1981	7.2	16976
Charlie Bartlett	2007	7.1	20614
Charlie Wilson's War	2007	7.3	46054
Charlie and the Chocolate Factory	2005	7.0	109903
Charlie's Angels	2000	5.5	64667
Charlie's Angels: Full Throttle	2003	4.7	46598
Chasing Amy	1997	7.5	65459
Che: Part One	2008	7.3	13264
Cheaper by the Dozen	2003	5.6	25845
Cheaper by the Dozen 2	2005	5.2	12714
Chi bi	2008	7.3	11696
Chicago	2002	7.2	86615
Chicken Little	2005	5.8	18692
Chicken Run	2000	7.3	51038
Child's Play	1988	6.3	17906
Children of Men	2006	8.1	173213
Children of the Corn	1984	5.2	12307
Chinatown	1974	8.5	85605
Chinjeolhan geumjassi	2005	7.7	20946
Chloe	2009	6.5	12935
Chocolat	2000	7.3	60014
Choke	2008	6.6	15920
Chopper	2000	7.2	12983
Christine	1983	6.4	18728
Christmas Vacation	1989	7.3	33900
Chung Hing sam lam	1994	8.0	18045
Cidade de Deus	2002	8.8	185133
Cinderella	1950	7.4	21941
Cinderella Man	2005	8.0	67047
Cirque du Freak: The Vampire's Assistant	2009	6.1	11760
Citizen Kane	1941	8.6	147505
City Hall	1996	6.1	10194
City Lights	1931	8.6	31313
City Slickers	1991	6.7	20579
City by the Sea	2002	6.1	13959
City of Angels	1998	6.4	42514
City of Ember	2008	6.4	16665
Clash of the Titans	1981	6.7	15467
Clash of the Titans	2010	5.9	58828
Cleaner	2007	6.1	12865
Clear and Present Danger	1994	6.8	30756
Clerks II	2006	7.6	59093
Clerks.	1994	7.9	93805
Cliffhanger	1993	6.2	36425
Close Encounters of the Third Kind	1977	7.8	62046
Cloudy with a Chance of Meatballs	2009	7.1	25135
Cloverfield	2008	7.4	144983
Club Dread	2004	5.4	13159
Clue	1985	7.2	23640
Clueless	1995	6.7	41272
Coach Carter	2005	7.1	25048
Cobra	1986	4.9	19872
Cocktail	1988	5.4	26210
Cocoon	1985	6.6	18443
Code 46	2003	6.3	10174
Coffee and Cigarettes	2003	6.8	20861
Cold Creek Manor	2003	4.8	11220
Cold Mountain	2003	7.3	54406
Collateral	2004	7.8	112561
Collateral Damage	2002	5.2	25628
Color of Night	1994	4.8	10672
Coming to America	1988	6.8	40379
Commando	1985	6.3	41759
Con Air	1997	6.6	81525
Conan the Barbarian	1982	6.8	41310
Conan the Destroyer	1984	5.4	21495
